Sucursal,Canal,Cliente
SOLO DEPORTES DEPOSITO,MB,BLOISE Hnos.Soc.de H.
All Sports 12,MB,ROSSETTI CARLOS ALBERTO
All Sports 14,MB,ROSSETTI CARLOS ALBERTO
All Sports 15,MB,ROSSETTI CARLOS ALBERTO
All Sports 16,MB,ROSSETTI CARLOS ALBERTO
All Sports 20,MB,ROSSETTI CARLOS ALBERTO
All Sports 23,MB,ROSSETTI CARLOS ALBERTO
All Sports 26,MB,ROSSETTI CARLOS ALBERTO
All Sports 34,MB,ROSSETTI CARLOS ALBERTO
All Sports 37,MB,ROSSETTI CARLOS ALBERTO
All Sports 38,MB,ROSSETTI CARLOS ALBERTO
All Sports 42,MB,ROSSETTI CARLOS ALBERTO
All Sports 44,MB,ROSSETTI CARLOS ALBERTO
All Sports 52,MB,ROSSETTI CARLOS ALBERTO
All Sports 54,MB,ROSSETTI CARLOS ALBERTO
All Sports 66,MB,ROSSETTI CARLOS ALBERTO
BLAST ALTO ROSARIO,MB,GRAELLS NELSON A.
BLAST CORDOBA 1260,MB,GRAELLS NELSON A.
BLAST PORTAL ROSARIO,MB,GRAELLS NELSON A.
BLAST SHOPPING DEL SIGLO,MB,GRAELLS NELSON A.
CD - ANTONIO LUQUIN,MB,ANTONIO LUQUIN S.A.
CER026 - BARRIO JARDIN,MB,ADOLFO ZAKIAN S.A.
CER026 - CARLOS PAZ,MB,ADOLFO ZAKIAN S.A.
CER026 - CENTRO,MB,ADOLFO ZAKIAN S.A.
CER026 - DIGITAL,MB,ADOLFO ZAKIAN S.A.
CER026 - NUEVO CENTRO,MB,ADOLFO ZAKIAN S.A.
CER026 - PATIO OLMOS,MB,ADOLFO ZAKIAN S.A.
CER026 - POETA LUGONES,MB,ADOLFO ZAKIAN S.A.
DASH ALTO AVELLANEDA - S48,MB,AMI MUSIC S.A.
DASH CORDOBA,MB,AMI MUSIC S.A.
DASH MELI,MB,AMI MUSIC S.A.
DASH San Justo Shopping,MB,AMI MUSIC S.A.
DASH TOM - S49,MB,AMI MUSIC S.A.
DASH UNICENTER,MB,AMI MUSIC S.A.
DASH(AMI) ALBERTI - A25,MB,AMI MUSIC S.A.
DASH(AMI) BENAVIDEZ ll - A24,MB,AMI MUSIC S.A.
DASH(AMI) CAMPANA - A14,MB,AMI MUSIC S.A.
DASH(AMI) CONCORDIA - A07,MB,AMI MUSIC S.A.
DASH(AMI) GARIN 2 - A36,MB,AMI MUSIC S.A.
DASH(AMI) GRANG BOURG - A12,MB,AMI MUSIC S.A.
DASH(AMI) GUALEGUAYCHU - A05,MB,AMI MUSIC S.A.
DASH(AMI) JUNIN - A34,MB,AMI MUSIC S.A.
DASH(AMI) LA PAMPA - A31,MB,AMI MUSIC S.A.
DASH(AMI) MAQ. SAVIO - A09,MB,AMI MUSIC S.A.
DASH(AMI) MAQ. SAVIO II - A11,MB,AMI MUSIC S.A.
DASH(AMI) MENDOZA - A26,MB,AMI MUSIC S.A.
DASH(AMI) MENDOZA 2 - A27,MB,AMI MUSIC S.A.
DASH(AMI) PERGAMINO - A06,MB,AMI MUSIC S.A.
DASH(AMI) SAN FERNANDO - A16,MB,AMI MUSIC S.A.
DASH(AMI) SANTA FE - A20,MB,AMI MUSIC S.A.
DASH(AMI) San Martin - A04,MB,AMI MUSIC S.A.
DASH(AMI) TORTUGUITAS - A08,MB,AMI MUSIC S.A.
DASH(AMI) VIEDMA - A32,MB,AMI MUSIC S.A.
DASH(AMI) VILLA MERCEDES 2 - A19,MB,AMI MUSIC S.A.
DASH(AMI) VILLA MERCEDES 3 - A38,MB,AMI MUSIC S.A.
DASH(AMI) WILLIAM MORRIS - A33,MB,AMI MUSIC S.A.
DASH(Essential) AZUL - S19,MB,AMI MUSIC S.A.
DASH(Essential) BALCARCE - S31,MB,AMI MUSIC S.A.
DASH(Essential) CHIVILCOY - S08,MB,AMI MUSIC S.A.
DASH(Essential) CONCEPCION - S09,MB,AMI MUSIC S.A.
DASH(Essential) CONCEPCION II - S26,MB,AMI MUSIC S.A.
DASH(Essential) CRUCE CASTELAR - S16,MB,AMI MUSIC S.A.
DASH(Essential) Constituyentes - S44,MB,AMI MUSIC S.A.
DASH(Essential) Del fundador 1450 - S32,MB,AMI MUSIC S.A.
DASH(Essential) ESCOBAR - s29,MB,AMI MUSIC S.A.
DASH(Essential) GRAND BOURG 1 - S35,MB,AMI MUSIC S.A.
DASH(Essential) GRAND BOURG 3 - S37,MB,AMI MUSIC S.A.
DASH(Essential) JOSE C. PAZ - AN1,MB,AMI MUSIC S.A.
DASH(Essential) JOSE C. PAZ 2 - S01,MB,AMI MUSIC S.A.
DASH(Essential) La Rioja - S41,MB,AMI MUSIC S.A.
DASH(Essential) MALVINAS - S34,MB,AMI MUSIC S.A.
DASH(Essential) NECOCHEA - S24,MB,AMI MUSIC S.A.
DASH(Essential) OLAVARRIA - S20,MB,AMI MUSIC S.A.
DASH(Essential) PACHECO - S15,MB,AMI MUSIC S.A.
DASH(Essential) PARANA - S28,MB,AMI MUSIC S.A.
DASH(Essential) PILAR 2 - S07,MB,AMI MUSIC S.A.
DASH(Essential) PILAR 3 - S12,MB,AMI MUSIC S.A.
DASH(Essential) PILAR 4 - S27,MB,AMI MUSIC S.A.
DASH(Essential) PTE. DERQUI - S13,MB,AMI MUSIC S.A.
DASH(Essential) SAN MIGUEL - S05,MB,AMI MUSIC S.A.
DASH(Essential) SAN MIGUEL 3 - S11,MB,AMI MUSIC S.A.
DASH(Essential) TANDIL 1 - S21,MB,AMI MUSIC S.A.
DASH(Essential) TANDIL 2 - S22,MB,AMI MUSIC S.A.
DASH(Essential) VIRREYES - S33,MB,AMI MUSIC S.A.
DASH(Essential) ZARATE - S14,MB,AMI MUSIC S.A.
DEPOSITO CENTRAL DASH,MB,AMI MUSIC S.A.
DEPOSITO DASH II,MB,AMI MUSIC S.A.
DEPOSITO GRAELLS NELSON A.,MB,GRAELLS NELSON A.
DEXTER GENERICO,MB,DABRA
DIONYSOS,MB,GRAELLS NELSON A.
DX  SAN MIGUEL II 51,MB,DABRA
DX - MERCADOLIBRE,MB,DABRA
DX 216 - Quilmes,MB,DABRA
DX 217 - Bahia Blanca,MB,DABRA
DX ABASTO 156,MB,DABRA
DX AUCHAN 79,MB,DABRA
DX Alberdi (nuevo) 139,MB,DABRA
DX BERAZATEGUI 54,MB,DABRA
DX CABALLITO 170,MB,DABRA
DX CAMPANA 80,MB,DABRA
DX CATAMARCA 212,MB,DABRA
DX CENCOSUD 146,MB,DABRA
DX CENTRO 158,MB,DABRA
DX CENTRO 172,MB,DABRA
DX CORRIENTES 220,MB,DABRA
DX Congreso 213,MB,DABRA
DX DIGITAL,MB,DABRA
DX FLORES 36,MB,DABRA
DX FLOYCO 183,MB,DABRA
DX Florencio Varela 142,MB,DABRA
DX IRSA NEUQUEN 205,MB,DABRA
DX JUMBO 141,MB,DABRA
DX Jose C.Paz II 57,MB,DABRA
DX Junin 91,MB,DABRA
DX MENDOZA JUMBO III El Portal de lo,MB,DABRA
DX MORENO II 23,MB,DABRA
DX MORON  222,MB,DABRA
DX Martinez 186,MB,DABRA
DX Mendoza II 206,MB,DABRA
DX Mendoza Plaza Shopp. 132,MB,DABRA
DX Neuquen II 133,MB,DABRA
DX OLMOS 124,MB,DABRA
DX PACHECO 196,MB,DABRA
DX PALMAS DEL PILAR 147,MB,DABRA
DX PARQUE BROWN 125,MB,DABRA
DX PEATONAL 120,MB,DABRA
DX PEATONAL CORDOBA 233,MB,DABRA
DX PLAZA OESTE  58,MB,DABRA
DX POMPEYA II 20,MB,DABRA
DX QUIL. FACTORY 65,MB,DABRA
DX RUTA 123,MB,DABRA
DX SAN FERNANDO II 111,MB,DABRA
DX SAN LUIS II,MB,DABRA
